param_id,trial_type,trial_number,total_trial_number,mean_sample
0,background,1,2,37.49166666666667
0,background,1,4,37.17
0,background,1,6,35.78
0,background,2,2,15.816666666666666
0,background,2,4,15.448333333333332
0,background,2,6,16.330000000000002
0,background,3,4,10.69
0,background,3,6,12.183333333333334
0,background,4,4,8.425
0,background,4,6,10.333333333333334
0,background,5,6,8.016666666666667
0,background,6,6,7.2
0,deviant,2,2,15.816666666666666
0,deviant,4,4,8.425
0,deviant,6,6,7.2
1,background,1,2,67.92833333333333
1,background,1,4,63.36666666666667
1,background,1,6,71.06
1,background,2,2,26.546666666666667
1,background,2,4,23.901666666666667
1,background,2,6,25.212982456140352
1,background,3,4,14.771666666666667
1,background,3,6,14.889912280701754
1,background,4,4,13.201666666666666
1,background,4,6,13.206052631578947
1,background,5,6,11.42987329434698
1,background,6,6,9.20835282651072
1,deviant,2,2,26.546666666666667
1,deviant,4,4,13.201666666666666
1,deviant,6,6,9.20835282651072
2,background,1,2,40.098333333333336
2,background,1,4,42.36206896551724
2,background,1,6,41.278333333333336
2,background,2,2,13.895
2,background,2,4,14.893103448275863
2,background,2,6,14.298333333333334
2,background,3,4,9.944827586206896
2,background,3,6,9.876666666666667
2,background,4,4,8.03103448275862
2,background,4,6,7.818333333333333
2,background,5,6,6.888333333333334
2,background,6,6,6.093333333333334
2,deviant,2,2,13.895
2,deviant,4,4,8.03103448275862
2,deviant,6,6,6.093333333333334
3,background,1,2,68.74666666666667
3,background,1,4,71.57333333333334
3,background,1,6,71.695
3,background,2,2,24.67
3,background,2,4,22.175
3,background,2,6,23.655
3,background,3,4,15.58
3,background,3,6,15.756052631578948
3,background,4,4,12.385
3,background,4,6,11.82736842105263
3,background,5,6,10.338245614035088
3,background,6,6,9.052719298245615
3,deviant,2,2,24.67
3,deviant,4,4,12.385
3,deviant,6,6,9.052719298245615
4,background,1,2,40.51833333333333
4,background,1,4,38.61
4,background,1,6,41.269999999999996
4,background,2,2,13.69
4,background,2,4,14.403333333333332
4,background,2,6,13.74
4,background,3,4,9.42
4,background,3,6,10.076666666666666
4,background,4,4,8.129999999999999
4,background,4,6,7.828333333333333
4,background,5,6,7.348333333333334
4,background,6,6,6.065
4,deviant,2,2,13.69
4,deviant,4,4,8.129999999999999
4,deviant,6,6,6.065
5,background,1,2,76.83375
5,background,1,4,72.39125
5,background,1,6,72.43875
5,background,2,2,25.10125
5,background,2,4,23.265
5,background,2,6,21.74375
5,background,3,4,16.1275
5,background,3,6,15.4775
5,background,4,4,13.616249999999999
5,background,4,6,12.76375
5,background,5,6,10.5
5,background,6,6,9.83
5,deviant,2,2,25.10125
5,deviant,4,4,13.616249999999999
5,deviant,6,6,9.83
6,background,1,2,33.78333333333333
6,background,1,4,33.1
6,background,1,6,32.93333333333333
