param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,animacy,2,6,71.69258201368866,18.716666666666665,21.584967323177477,15.848366010155853
0,animacy,4,6,73.12719632329181,20.058333333333334,22.984030516102454,17.132636150564213
0,animacy,6,6,45.322847729547945,10.308333333333334,12.121624893578442,8.495041773088225
0,background,1,90,347.6655796353126,35.69722222222222,39.28864486814367,32.105799576300775
0,background,2,66,186.149946633296,15.449242424242424,17.694762922970355,13.203721925514493
0,background,3,60,141.41983967121297,10.9125,12.701707833975107,9.123292166024893
0,background,4,36,89.93641028380465,7.802777777777778,9.271739145746587,6.333816409808969
0,background,5,30,59.31690093760888,6.78,7.841314019704372,5.7186859802956285
0,background,6,6,33.14803320354253,6.725,8.05119753298339,5.39880246701661
0,identity,2,6,77.66354560403146,22.066666666666666,25.17385561963906,18.959477713694273
0,identity,4,6,46.5616173529906,11.416666666666666,13.27951933385458,9.553813999478752
0,identity,6,6,55.22761513667063,13.116666666666667,15.326231454328978,10.907101879004356
0,number,2,6,68.84123611233085,18.166666666666668,20.920889728381933,15.412443604951402
0,number,4,6,50.99326580926874,16.158333333333335,18.19848886533006,14.11817780133661
0,number,6,6,60.73763681866285,9.108333333333333,11.538344900340674,6.6783217663259915
0,pose,2,6,69.25122077586335,20.966666666666665,23.737292531106277,18.196040802227053
0,pose,4,6,59.304233451442215,16.291666666666664,18.664330155201135,13.919003178132193
0,pose,6,6,46.058172598985024,9.791666666666666,11.634377348758333,7.948955984574999
1,animacy,2,6,112.38290982641725,29.391666666666666,33.88791948643762,24.895413846895714
1,animacy,4,6,126.58200887472215,27.857456140350877,32.92179123555639,22.793121045145366
1,animacy,6,6,90.55541904341592,21.193421052631578,24.816392364269483,17.570449740993674
1,background,1,90,652.0452397931007,65.21555555555555,71.95125266659728,58.47985844451382
1,background,2,66,347.5104882930646,24.34318181818182,28.535189063406847,20.15117457295679
1,background,3,60,257.81706590853173,16.8875,20.149335928597225,13.625664071402774
