trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,19,0,0,1.15,0.48936048492959283
0,19,0,1,1.15,0.48936048492959283
0,18,1,0,4.85,8.604007634144745
0,18,1,1,4.05,6.684428094262696
0,19,0,0,1.8,2.0157276340658834
0,19,0,1,1.75,2.1490511982341367
0,71,13,0,1.8,2.142305693455191
0,71,13,1,1.6,1.8180382718454353
0,63,12,0,2.45,4.806519695054559
0,63,12,1,2.4,5.030433694811486
0,118,14,0,3.0,4.242640687119285
0,118,14,1,2.65,3.09966042282733
0,18,1,0,4.35,8.701330811705578
0,18,1,1,3.2,4.68592517405497
0,134,0,0,6.2,19.31620535906792
0,134,0,1,3.0,5.982430416161187
0,1,1,0,2.5,3.6634754853252325
0,1,1,1,2.3,3.1805328914639777
0,118,10,0,1.5,1.0
0,118,10,1,1.3,0.6569466853317864
0,63,12,0,2.15,3.013565819319104
0,63,12,1,1.65,1.5652475842498528
0,118,14,0,2.2,3.237933063902926
0,118,14,1,2.0,2.127513992779762
0,83,11,0,2.0,1.8353258709644942
0,83,11,1,1.95,2.163695668842645
0,134,0,0,1.75,1.831737742662616
0,134,0,1,1.65,1.7554426642213128
0,1,1,0,1.85,2.277463963548745
0,1,1,1,1.85,2.1588252165910684
0,71,13,0,5.75,9.80265807131708
0,71,13,1,4.6,7.728280260800178
0,102,12,0,1.35,0.9880869341680842
0,102,12,1,1.8,2.353049533108719
0,449,0,0,1.3,0.7326950970650464
0,449,0,1,1.25,0.7163503994113789
0,118,10,0,1.6,1.2732056517228265
0,118,10,1,1.35,1.1367080817685316
0,174,14,0,1.5,1.0513149660756937
0,174,14,1,1.5,1.4689774459950382
0,83,11,0,2.6,2.891002375793231
0,83,11,1,2.2,2.330574810506717
0,70,13,0,1.15,0.48936048492959283
0,70,13,1,1.25,1.118033988749895
0,449,0,0,1.7,2.0287408591745297
0,449,0,1,1.8,1.935812083093974
0,23,10,0,1.7,1.5593520921743174
0,23,10,1,1.4,0.7539370349250519
0,174,14,0,3.1,5.72069189779293
0,174,14,1,2.05,3.790222879156872
0,102,12,0,2.95,7.577494378264598
0,102,12,1,2.6,5.164657221009572
0,35,11,0,2.55,3.59055779276116
0,35,11,1,1.9,1.8324559303956276
0,143,0,0,2.3,2.8672378052018894
0,143,0,1,2.8,5.680993241549079
0,23,1,0,6.15,10.499498734902085
0,23,1,1,5.7,11.323473523242724
0,70,13,0,2.65,4.307582054690861
0,70,13,1,1.8,2.3078812338319503
0,23,10,0,1.6,1.5694450913417908
0,23,10,1,1.65,1.6944180805158295
0,63,14,0,2.25,3.0413812651491097
0,63,14,1,1.65,2.4553914898486258
0,79,12,0,2.45,3.5165024489802663
0,79,12,1,1.3,0.6569466853317862
0,143,0,0,2.2,2.9841687549290397
0,143,0,1,1.9,2.4039441275580953
0,132,0,0,2.2,2.5047323630532494
0,132,0,1,1.8,1.361114094757441
0,70,1,0,2.05,2.0384462607326044
0,70,1,1,2.15,2.641271623569542
0,70,1,0,2.45,3.9930861300634706
0,70,1,1,2.2,3.2379330639029256
0,132,0,0,4.15,11.122641677890051
0,132,0,1,3.4,6.893169769683916
0,298,1,0,3.0,6.456331042187643
0,298,1,1,1.7,2.9037181246409607
0,70,0,0,1.6,1.353358395757909
0,70,0,1,1.5,1.3572417850765923
0,35,10,0,2.0,1.8064212949190015
0,35,10,1,1.6,1.0462967275611939
0,113,11,0,2.3,2.7739388677664225
0,113,11,1,1.8,1.7350868323485928
0,47,12,0,1.3,0.9233805168766386
0,47,12,1,1.15,0.6708203932499369
0,100,14,0,1.5,0.9999999999999998
0,100,14,1,1.5,1.1470786693528088
0,133,13,0,2.45,4.135532804723881
0,133,13,1,1.75,2.048748013068623
0,70,0,0,1.1,0.3077935056255462
0,70,0,1,1.05,0.22360679774997896
0,298,1,0,2.85,3.1165939573093
0,298,1,1,2.6,3.0157481397002077
0,113,11,0,1.35,0.812727700887249
0,113,11,1,1.3,0.8013147091860318
0,100,14,0,1.6,1.8180382718454353
0,100,14,1,1.55,1.5719582155957414
0,35,10,0,2.0,2.224268064117415
0,35,10,1,1.95,1.9861361590045288
0,103,0,0,1.55,1.0990426455975697
0,103,0,1,1.35,0.9880869341680842
0,0,16,0,1.3,0.9233805168766387
0,0,16,1,1.25,0.9104654680003259
0,133,13,0,2.5,3.1539448982270817
0,133,13,1,1.95,2.3502519461807316
0,47,12,0,3.2,7.295276049031931
0,47,12,1,2.55,4.661996409942396
0,97,1,0,2.0,2.224268064117415
0,97,1,1,1.9,1.8035053587243284
0,103,0,0,2.1,3.7822299186980604
0,103,0,1,1.3,0.7326950970650464
0,2,11,0,1.9,1.99736668746891
0,2,11,1,1.95,2.0894471693929497
0,23,14,0,2.35,3.7735227154756243
0,23,14,1,1.55,1.700619082322051
0,195,10,0,2.05,2.6452539426400317
