param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,animacy,2,40,238.5679700122996,29.22875,32.92539899380792,25.53210100619209
0,animacy,4,40,247.9909484765841,26.2825,30.125159557828198,22.4398404421718
0,animacy,6,40,232.62632108847419,23.295,26.899582189891667,19.690417810108336
0,background,1,598,890.8214452786939,40.92307692307692,44.49305991633019,37.35309392982365
0,background,2,440,498.93311702387314,16.99943181818182,19.330430720109803,14.668432916253833
0,background,3,400,356.081739581178,11.86675,13.611550523947772,10.121949476052228
0,background,4,240,246.22133816633573,9.89,11.447564865591902,8.3324351344081
0,background,5,200,172.18606826704405,7.9935,9.186688577675271,6.800311422324729
0,background,6,40,62.240957914425316,6.64,7.60443363472531,5.6755663652746895
0,identity,2,39,203.03124597486283,25.870512820512822,29.05659264161755,22.684432999408095
0,identity,4,40,153.04495383624004,15.74,18.11145612873743,13.36854387126257
0,identity,6,40,146.3465875386595,14.40625,16.673913867635356,12.138586132364644
0,number,2,40,175.22752877931384,21.45375,24.168928688556147,18.738571311443852
0,number,4,40,137.31867469886473,15.06375,17.19152490888833,12.935975091111672
0,number,6,40,147.66498355541523,13.2775,15.565592625563461,10.989407374436539
0,pose,2,39,151.88081372888206,18.662820512820513,21.046219154300893,16.279421871340134
0,pose,4,40,151.75245597596384,13.40125,15.75267866690153,11.049821333098468
0,pose,6,40,133.54519242957656,11.91125,13.980554195350393,9.841945804649608
1,animacy,2,40,426.5578044372366,51.78125,58.3908316571375,45.1716683428625
1,animacy,4,40,350.8739977266793,37.696513157894735,43.133362080165476,32.259664235623994
1,animacy,6,40,339.92862038825785,34.399013157894736,39.6662617011924,29.131764614597074
1,background,1,600,1686.3534124195162,76.1285,82.87531879783405,69.38168120216595
1,background,2,440,875.7546915801031,27.20787679425837,31.29937353957028,23.116380048946464
1,background,3,400,632.3394179344541,19.03546710526316,22.133930253141983,15.937003957384334
1,background,4,240,360.27987902194894,14.28017543859649,16.559260125258355,12.001090751934626
1,background,5,200,315.33649073772114,12.30652485380117,14.491695249172043,10.121354458430297
1,background,6,40,120.61211813468692,11.307763157894737,13.176667290836996,9.438859024952478
1,identity,2,40,344.1045817159294,40.8325,46.16445573445716,35.50054426554285
1,identity,4,40,317.9177906903401,33.611973684210525,38.53816088783426,28.685786480586792
1,identity,6,40,283.97581232968435,29.685263157894738,34.08551395795055,25.285012357838927
1,number,2,40,341.2080627788024,38.089999999999996,43.377073708534205,32.80292629146579
1,number,4,40,237.86216154474178,23.51625,27.201962378296265,19.830537621703733
1,number,6,40,231.65118259796733,20.365679824561404,23.955152086998982,16.776207562123826
1,pose,2,40,294.73163529235416,29.0275,33.59441400354654,24.46058599645346
1,pose,4,40,229.12369166428718,21.07078947368421,24.621097858354098,17.520481089014325
1,pose,6,40,174.83942340504382,15.339605263157894,18.0487701966353,12.630440329680491
2,animacy,2,40,259.04689679060453,38.02,42.03397325181868,34.00602674818133
2,animacy,4,40,252.45138666994671,28.03875,31.95052476369002,24.12697523630998
2,animacy,6,40,221.21411989768026,27.08375,30.51149830038459,23.656001699615405
2,background,1,600,628.8618604063091,42.35358333333333,44.869554771931575,39.83761189473509
2,background,2,440,303.5009017588268,15.033295454545454,16.451241557129237,13.615349351961672
2,background,3,400,205.99826263958226,10.5435,11.552891486933953,9.534108513066046
2,background,4,240,127.83731437795626,8.566666666666666,9.37534925636252,7.757984076970812
2,background,5,200,103.92144047054815,7.49925,8.219388841620507,6.779111158379493
2,background,6,40,48.580779175134246,6.81625,7.569016972225591,6.063483027774409
2,identity,2,40,190.70795390913963,28.94125,31.896300361090137,25.986199638909863
2,identity,4,40,216.26953212673254,24.9725,28.323631119095225,21.621368880904775
2,identity,6,40,188.3637927550107,21.21875,24.137477207687407,18.300022792312593
2,number,2,40,162.2275854276461,23.9075,26.42124247937842,21.393757520621577
2,number,4,40,143.42840686118228,17.48875,19.711196189568224,15.266303810431776
2,number,6,40,169.5389025376896,17.50375,20.13078251171956,14.876717488280441
2,pose,2,40,149.51127399842318,22.107499999999998,24.424201192371783,19.790798807628214
2,pose,4,40,128.68956936425693,14.0675,16.061565536456666,12.073434463543334
